Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Start_Date,End_Date,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,Clicks,Conversions,CTR,Conversion_Rate,Spend,Revenue,CPC,CPM,ROAS,ROI,Engagement_Rate,Bounce_Rate,Avg_Session_Duration,Campaign_Success
1,CMP_0001_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,273,Google Display Ads,Travel,Freelancers,BOFU,Video,Desktop,North,CPA,114187,Medium,86,2026-05-13,2026-08-07,Running,71,65,Medium,Medium,100.74,229218,3614,31.6,2.01,3910248,67,3227148,38080,5315,1.18,13.96,114187,229218,3.0,35.38,2.01,100.74,4.38,37.35,397,1
2,CMP_0002_Customer_Retention,Sales,Customer Retention,110,Email Marketing,Technology,Families,TOFU,Story,Tablet,North,Target ROAS,305968,Medium,47,2026-08-25,2026-10-11,Paused,81,83,Medium,Medium,107.05,633506,3171,96.49,2.07,3800857,70,4924318,532318,82562,10.81,15.51,305968,633506,0.57,62.13,2.07,107.05,3.55,44.59,194,1
3,CMP_0003_Increase_Brand_Awareness,Sales,Increase Brand Awareness,243,Affiliate Marketing,Fashion,Working Professionals,TOFU,Video,Tablet,West,Maximize Clicks,1424332,Enterprise,67,2026-08-18,2026-10-24,Planned,85,93,Low,Medium,125.81,3216284,1054,1351.36,2.26,856126,76,1186039,59657,8184,5.03,13.72,1424332,3216284,23.88,1200.91,2.26,125.81,17.1,23.72,93,1
4,CMP_0004_Increase_Sales,Lead Generation,Increase Sales,108,Google Display Ads,Travel,Students,MOFU,Image,Mobile,West,Target ROAS,1391856,Enterprise,94,2026-07-06,2026-10-08,Planned,92,98,Low,High,103.98,2839107,2123,655.61,2.04,4405040,62,4084831,281036,16890,6.88,6.01,1391856,2839107,4.95,340.74,2.04,103.98,7.67,24.24,435,1
5,CMP_0005_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,66,Instagram Ads,Education,Business Owners,BOFU,Story,Desktop,Central,Maximize Clicks,191689,Medium,67,2026-05-29,2026-08-04,Running,86,89,Low,Medium,78.07,341340,3810,50.31,1.78,3971878,68,1591696,65577,5993,4.12,9.14,191689,341340,2.92,120.43,1.78,78.07,3.6,41.83,162,0
6,CMP_0006_Customer_Retention,App Promotion,Customer Retention,98,YouTube Ads,Education,Business Owners,TOFU,Image,Tablet,South,CPA,939767,Large,60,2026-08-20,2026-10-19,Planned,95,99,Low,High,91.87,1803130,442,2126.17,1.92,4927843,73,59721,6545,862,10.96,13.17,939767,1803130,143.59,15735.96,1.92,91.87,17.62,22.65,34,1
7,CMP_0007_Increase_Sales,Lead Generation,Increase Sales,79,Instagram Ads,E-Commerce,Freelancers,MOFU,Reels,All Devices,Central,Target ROAS,1103494,Enterprise,51,2026-05-01,2026-06-21,Completed,96,88,Low,High,126.04,2494337,103,10713.53,2.26,4052226,100,1071896,57346,2075,5.35,3.62,1103494,2494337,19.24,1029.48,2.26,126.04,7.6,30.82,34,1
8,CMP_0008_Website_Traffic,Brand Awareness,Website Traffic,70,YouTube Ads,Travel,Senior Citizens,TOFU,Reels,All Devices,Central,CPA,645293,Large,17,2026-04-14,2026-05-01,Completed,93,99,Low,High,119.24,1414740,2839,227.3,2.19,265703,68,2813417,165428,2894,5.88,1.75,645293,1414740,3.9,229.36,2.19,119.24,4.84,27.97,411,1
9,CMP_0009_Website_Traffic,App Promotion,Website Traffic,138,YouTube Ads,Finance,Business Owners,TOFU,Story,Tablet,North,CPC,1055933,Enterprise,66,2026-07-05,2026-09-09,Paused,98,96,Low,High,125.93,2385669,2520,419.02,2.26,2219646,93,1045157,121342,15725,11.61,12.96,1055933,2385669,8.7,1010.31,2.26,125.93,11.75,20.42,309,1
10,CMP_0010_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,186,YouTube Ads,Fashion,Freelancers,TOFU,Reels,Tablet,East,Maximize Clicks,364202,Medium,22,2026-08-24,2026-09-15,Planned,72,76,Medium,Medium,97.59,719626,1562,233.16,1.98,908128,72,3663779,339632,23978,9.27,7.06,364202,719626,1.07,99.41,1.98,97.59,17.38,26.22,442,1
11,CMP_0011_Increase_Sales,Lead Generation,Increase Sales,18,Facebook Ads,Finance,Business Owners,MOFU,Carousel,Desktop,South,CPM,794953,Large,41,2026-06-21,2026-08-01,Running,94,99,Low,High,120.35,1751678,851,934.14,2.2,801801,99,692726,20712,1621,2.99,7.83,794953,1751678,38.38,1147.57,2.2,120.35,14.79,30.07,277,1
12,CMP_0012_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,152,Instagram Ads,Healthcare,Students,BOFU,Image,Mobile,West,CPM,776301,Large,42,2026-06-19,2026-07-31,Running,84,84,Medium,Medium,75.89,1365435,3405,227.99,1.76,1713651,61,913532,15895,1409,1.74,8.86,776301,1365435,48.84,849.78,1.76,75.89,13.58,58.48,452,0
13,CMP_0013_Customer_Retention,Brand Awareness,Customer Retention,214,LinkedIn Ads,Education,Families,TOFU,Carousel,Mobile,North,CPM,973549,Large,108,2026-07-17,2026-11-02,Paused,86,85,Low,Medium,118.23,2124575,324,3004.78,2.18,2915037,95,4871093,342924,58777,7.04,17.14,973549,2124575,2.84,199.86,2.18,118.23,14.08,56.43,461,1
14,CMP_0014_App_Installs,Brand Awareness,App Installs,86,LinkedIn Ads,Technology,Students,TOFU,Image,All Devices,East,Target ROAS,1396672,Enterprise,112,2026-07-10,2026-10-30,Planned,97,90,Low,High,106.94,2890273,3232,432.14,2.07,4693523,63,3711015,261255,9849,7.04,3.77,1396672,2890273,5.35,376.36,2.07,106.94,12.76,43.07,381,1
15,CMP_0015_App_Installs,Brand Awareness,App Installs,90,Email Marketing,Healthcare,Students,TOFU,Story,Desktop,North,CPA,927459,Large,81,2026-04-02,2026-06-22,Completed,76,76,Medium,Medium,78.47,1655236,1767,524.88,1.78,1760762,95,1861207,198963,24910,10.69,12.52,927459,1655236,4.66,498.31,1.78,78.47,8.67,54.95,372,1
16,CMP_0016_Generate_Leads,Brand Awareness,Generate Leads,174,Instagram Ads,Fashion,Business Owners,TOFU,Video,All Devices,East,Maximize Clicks,1413121,Enterprise,56,2026-07-24,2026-09-18,Planned,87,92,Low,Medium,124.87,3177685,156,9058.47,2.25,2984028,82,3711854,250550,42443,6.75,16.94,1413121,3177685,5.64,380.7,2.25,124.87,3.1,64.89,129,1
17,CMP_0017_Customer_Retention,Retargeting,Customer Retention,281,Google Search Ads,Education,Students,BOFU,Image,Tablet,North,Maximize Clicks,685697,Large,70,2026-08-13,2026-10-22,Planned,80,75,Medium,Medium,87.28,1284173,1741,393.85,1.87,4375625,87,3884896,202014,19312,5.2,9.56,685697,1284173,3.39,176.5,1.87,87.28,9.33,59.59,452,0
18,CMP_0018_Increase_Brand_Awareness,Product Launch,Increase Brand Awareness,148,LinkedIn Ads,Food Delivery,Freelancers,TOFU,Carousel,Tablet,Central,Maximize Clicks,102448,Medium,101,2026-03-08,2026-06-17,Completed,60,68,High,Low,53.05,156796,1238,82.75,1.53,2050705,77,4270570,418515,12639,9.8,3.02,102448,156796,0.24,23.99,1.53,53.05,17.57,20.47,33,0
19,CMP_0019_Increase_Brand_Awareness,App Promotion,Increase Brand Awareness,279,Email Marketing,Healthcare,Freelancers,TOFU,Reels,Mobile,West,CPA,698376,Large,62,2026-02-08,2026-04-11,Completed,93,99,Low,High,96.01,1368886,1322,528.27,1.96,58862,71,1348679,153614,12918,11.39,8.41,698376,1368886,4.55,517.82,1.96,96.01,8.38,54.56,267,1
20,CMP_0020_Increase_Sales,Sales,Increase Sales,250,Email Marketing,Technology,Students,TOFU,Carousel,All Devices,East,Target ROAS,1436914,Enterprise,34,2026-06-14,2026-07-18,Running,100,99,Low,High,81.54,2608573,3319,432.94,1.82,774807,68,1229980,108607,9557,8.83,8.8,1436914,2608573,13.23,1168.24,1.82,81.54,12.27,20.11,56,0
