Campaign_ID,Campaign_Name,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Start_Date,End_Date,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,CTR,Clicks,Conversion_Rate,Conversions,CPC,CPM,Spend,Revenue
1,CMP_0001_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,273,Google Display Ads,Travel,Freelancers,BOFU,Video,Desktop,North,CPA,114187,Medium,86,2026-05-13,2026-08-07,Running,71,65,Medium,Medium,100.74,229218,3614,31.6,2.01,3910248,67,3227148,1.18,38080,13.96,5315,3.0,35.38,114187,229218
2,CMP_0002_Customer_Retention,Sales,Customer Retention,110,Email Marketing,Technology,Families,TOFU,Story,Tablet,North,Target ROAS,305968,Medium,47,2026-08-25,2026-10-11,Paused,81,83,Medium,Medium,107.05,633506,3171,96.49,2.07,3800857,70,4924318,10.81,532318,15.51,82562,0.57,62.13,305968,633506
3,CMP_0003_Increase_Brand_Awareness,Sales,Increase Brand Awareness,243,Affiliate Marketing,Fashion,Working Professionals,TOFU,Video,Tablet,West,Maximize Clicks,1424332,Enterprise,67,2026-08-18,2026-10-24,Planned,85,93,Low,Medium,125.81,3216284,1054,1351.36,2.26,856126,76,1186039,5.03,59657,13.72,8184,23.88,1200.91,1424332,3216284
4,CMP_0004_Increase_Sales,Lead Generation,Increase Sales,108,Google Display Ads,Travel,Students,MOFU,Image,Mobile,West,Target ROAS,1391856,Enterprise,94,2026-07-06,2026-10-08,Planned,92,98,Low,High,103.98,2839107,2123,655.61,2.04,4405040,62,4084831,6.88,281036,6.01,16890,4.95,340.74,1391856,2839107
5,CMP_0005_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,66,Instagram Ads,Education,Business Owners,BOFU,Story,Desktop,Central,Maximize Clicks,191689,Medium,67,2026-05-29,2026-08-04,Running,86,89,Low,Medium,78.07,341340,3810,50.31,1.78,3971878,68,1591696,4.12,65577,9.14,5993,2.92,120.43,191689,341340
6,CMP_0006_Customer_Retention,App Promotion,Customer Retention,98,YouTube Ads,Education,Business Owners,TOFU,Image,Tablet,South,CPA,939767,Large,60,2026-08-20,2026-10-19,Planned,95,99,Low,High,91.87,1803130,442,2126.17,1.92,4927843,73,59721,10.96,6545,13.18,862,143.59,15735.96,939767,1803130
7,CMP_0007_Increase_Sales,Lead Generation,Increase Sales,79,Instagram Ads,E-Commerce,Freelancers,MOFU,Reels,All Devices,Central,Target ROAS,1103494,Enterprise,51,2026-05-01,2026-06-21,Completed,96,88,Low,High,126.04,2494337,103,10713.53,2.26,4052226,100,1071896,5.35,57346,3.62,2075,19.24,1029.48,1103494,2494337
8,CMP_0008_Website_Traffic,Brand Awareness,Website Traffic,70,YouTube Ads,Travel,Senior Citizens,TOFU,Reels,All Devices,Central,CPA,645293,Large,17,2026-04-14,2026-05-01,Completed,93,99,Low,High,119.24,1414740,2839,227.3,2.19,265703,68,2813417,5.88,165428,1.75,2894,3.9,229.36,645293,1414740
9,CMP_0009_Website_Traffic,App Promotion,Website Traffic,138,YouTube Ads,Finance,Business Owners,TOFU,Story,Tablet,North,CPC,1055933,Enterprise,66,2026-07-05,2026-09-09,Paused,98,96,Low,High,125.93,2385669,2520,419.02,2.26,2219646,93,1045157,11.61,121342,12.96,15725,8.7,1010.31,1055933,2385669
10,CMP_0010_Increase_Brand_Awareness,Brand Awareness,Increase Brand Awareness,186,YouTube Ads,Fashion,Freelancers,TOFU,Reels,Tablet,East,Maximize Clicks,364202,Medium,22,2026-08-24,2026-09-15,Planned,72,76,Medium,Medium,97.59,719626,1562,233.16,1.98,908128,72,3663779,9.27,339632,7.06,23978,1.07,99.41,364202,719626
11,CMP_0011_Increase_Sales,Lead Generation,Increase Sales,18,Facebook Ads,Finance,Business Owners,MOFU,Carousel,Desktop,South,CPM,794953,Large,41,2026-06-21,2026-08-01,Running,94,99,Low,High,120.35,1751678,851,934.14,2.2,801801,99,692726,2.99,20712,7.83,1621,38.38,1147.57,794953,1751678
12,CMP_0012_Increase_Brand_Awareness,Retargeting,Increase Brand Awareness,152,Instagram Ads,Healthcare,Students,BOFU,Image,Mobile,West,CPM,776301,Large,42,2026-06-19,2026-07-31,Running,84,84,Medium,Medium,75.89,1365435,3405,227.99,1.76,1713651,61,913532,1.74,15895,8.87,1409,48.84,849.78,776301,1365435
13,CMP_0013_Customer_Retention,Brand Awareness,Customer Retention,214,LinkedIn Ads,Education,Families,TOFU,Carousel,Mobile,North,CPM,973549,Large,108,2026-07-17,2026-11-02,Paused,86,85,Low,Medium,118.23,2124575,324,3004.78,2.18,2915037,95,4871093,7.04,342924,17.14,58777,2.84,199.86,973549,2124575
14,CMP_0014_App_Installs,Brand Awareness,App Installs,86,LinkedIn Ads,Technology,Students,TOFU,Image,All Devices,East,Target ROAS,1396672,Enterprise,112,2026-07-10,2026-10-30,Planned,97,90,Low,High,106.94,2890273,3232,432.14,2.07,4693523,63,3711015,7.04,261255,3.77,9849,5.35,376.36,1396672,2890273
15,CMP_0015_App_Installs,Brand Awareness,App Installs,90,Email Marketing,Healthcare,Students,TOFU,Story,Desktop,North,CPA,927459,Large,81,2026-04-02,2026-06-22,Completed,76,76,Medium,Medium,78.47,1655236,1767,524.88,1.78,1760762,95,1861207,10.69,198963,12.52,24910,4.66,498.31,927459,1655236
